id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,4,4,Moeen Ali,Mohammed Shami,noballs,0,1,1,1,0,,NA,,,,,1nb,4,4,"Mohammed Shami to Moeen Ali, 1 no ball,",Moeen Ali,Mohammed Shami,1,28,1,4.4
335983,1,1,4,4,Moeen Ali,Mohammed Shami,NA,6,0,6,0,0,,NA,,,,,6,4,4,"Mohammed Shami to Moeen Ali, Six,",Moeen Ali,Mohammed Shami,6,29,1,4.4
335983,1,1,4,5,Moeen Ali,Mohammed Shami,NA,4,0,4,0,0,,NA,,,,,4,4,5,"Mohammed Shami to Moeen Ali, Four,",Moeen Ali,Mohammed Shami,4,30,1,4.5
335983,1,1,4,6,Moeen Ali,Mohammed Shami,NA,1,0,1,1,0,,NA,,,,,1,4,6,"Mohammed Shami to Moeen Ali, 1 run,",Moeen Ali,Mohammed Shami,1,31,1,4.6
335983,1,1,5,1,Moeen Ali,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,5,1,"Rashid Khan to Moeen Ali, no run,",Moeen Ali,Rashid Khan,0,32,1,5.1
335983,1,1,5,2,Moeen Ali,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,5,2,"Rashid Khan to Moeen Ali, no run,",Moeen Ali,Rashid Khan,0,33,1,5.2
335983,1,1,5,3,Moeen Ali,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,5,3,"Rashid Khan to Moeen Ali, no run,",Moeen Ali,Rashid Khan,0,34,1,5.3
335983,1,1,5,4,Moeen Ali,Rashid Khan,NA,4,0,4,0,0,,NA,,,,,4,5,4,"Rashid Khan to Moeen Ali, Four,",Moeen Ali,Rashid Khan,4,35,1,5.4
335983,1,1,5,5,Moeen Ali,Rashid Khan,NA,0,0,0,1,1,,caught,,,,,w,5,5,"Rashid Khan to Moeen Ali, no run,                           Wicket - c Wriddhiman Saha b Rashid Khan batsmen out 23(17)",Moeen Ali,Rashid Khan,0,36,1,5.5
335983,1,1,5,6,Ben S,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,5,6,"Rashid Khan to Ben Stokes, 1 run,",Ben S,Rashid Khan,1,37,1,5.6
